verb,noun,prep,pobj,label,mod_state_mutable,
show,chimp,in,front,N,Y,
be,lipstick,on,image,V,Y,
show,picture,in,image,O,Y,
be,pig,of,image,O,Y,
be,dog,on,beach,V,Y,
be,crab,in,image,V,Y,
have,window,in,background,N,?,
have,paw,off,ground,N,Y,
feature,fish,with,stripes,N,N,
show,fish,without,stripe,N,N,
be,people,in,image,V,Y,
show,chow,with,mouth,N,?,
wear,kind,of,adornment,N,N,
show,hound,with,hair,N,?,
have,ferret,with,chest,N,?,
show,none,of,creature,N,N,
wear,glove,with,attachment,N,N,
show,dog,with,ball,N,Y,
be,chimney,on,top,N,N,
be,gorilla,in,image,V,Y,
show,aisle,in,bookstore,O,N,
be,puppy,per,pair,N,Y,
show,doberman,with,ear,N,N,
contain,number,of,fabric,N,N,
be,dog,in,image,V,Y,
contain,total,of,goat,N,N,
contain,number,of,dog,N,N,
contain,number,of,sailboat,N,N,
contain,total,of,container,N,N,
feature,puppy,in,pose,N,Y,
contain,dog,on,grass,N,Y,
be,door,in,image,V,Y,
be,penguin,in,water,V,Y,
feature,body,of,water,N,N,
show,staircase,with,rail,N,N,
show,end,of,row,N,N,
show,dog,with,harness,N,?,
contain,bottle,of,wine,N,N,
contain,number,of,stingray,N,N,
show,case,with,front,N,?,
be,dog,in,total,V,Y,
feature,motif,on,flute,V,N,
have,fork,to,left,N,?,
contain,number,of,bed,N,N,
be,dispenser,in,total,V,Y,
be,puppy,with,mother,V,Y,
have,instrument,on,surface,N,?,
be,teacup,in,image,V,Y,
feature,standing,in,profile,N,Y,
be,spoon,on,table,V,Y,
show,jellyfish,of,jellyfish,O,N,
show,schnauzer,in,setting,V,Y,
have,fish,in,mouth,V,Y,
be,jellyfish,in,water,N,Y,
include,bird,on,buffalo,N,Y,
have,front,with,v,N,?,
be,plug,in,basin,N,Y,
show,dog,with,mouth,N,?,
show,bottle,with,label,N,N,
contain,total,of,blind,N,N,
contain,animal,with,body,N,N,
show,chimpanzee,in,tree,N,Y,
wear,cap,with,tassel,N,N,
be,drawer,below,squared,N,?,
be,chihuahua,in,image,V,Y,
